country_iso3,area,jurisdiction,missing_fact,reason,attempted_sources,recommended_next_step
CHN,curriculum_courses,National,Current subject-specific compulsory-education standards not fully modeled,This pass retained only nine directly named subject/group rows and deliberately omitted outcomes and detailed standards,"MOE 2022 compulsory curriculum programme and attached subject-standard list",Inspect each official subject-standard PDF only when product requirements justify outcome-level modeling
CHN,curriculum_courses,National,Exact grade-by-grade placement and local scheduling for retained compulsory-education subjects,The official national table gives grade spans or grouped alternatives rather than proving every duplicated grade row in the prior seed,"MOE 2022 compulsory curriculum programme printed pages 6-9 Tables 1-2",Research provincial implementation measures or redesign schema to store grade spans before adding grade-specific rows
CHN,curriculum_courses,National,General senior-high course and module rows,No course rows were added because the national programme includes compulsory selective-compulsory and elective modules that the current row model could easily misstate,"MOE General Senior High School Curriculum Programme attached file 1 printed pages 4-7",Model modules and official credits only after a schema review; do not convert them to US-style credits
MEX,curriculum,31 states + Mexico City,Entity-specific curriculum adoption and contextual components,National instruments require or permit local coordination and contextualization but this pass did not inspect each entity's implementing instruments,"Ley General de Educación; SEP Plan de Estudio 2022; Acuerdo 21/08/25 MCCEMS",Research only current instruments issued by each state education secretariat and the Mexico City federal education authority
MEX,curriculum,Upper-secondary providers and cohorts,Provider-specific MCCEMS implementation and transition schedules,Acuerdo 21/08/25 starts phased implementation in 2025-2026 and preserves earlier plans for enrolled cohorts; one uniform provider-level schedule cannot be inferred,"Acuerdo 21/08/25 transitorios Tercero through Séptimo",Research current official implementation notices and control rules for each provider and student cohort
MEX,credentials,Upper-secondary providers,Exact certificate title and completion requirements by service,The LGE and MCCEMS establish broad certificate categories but exact completion requirements depend on the applicable plan program and control rules,"Ley General de Educación Articles 44-45 and 141; Acuerdo 21/08/25 Articles 66 and 70",Research direct current control rules and study plans for each modeled upper-secondary service before adding graduation frameworks
MEX,curriculum_courses,CONALEP careers and plantels,Career-specific maps modules and plantel availability,The national CONALEP program proves the program and nationwide system but not that every career or module is offered in every plantel,"Programa Institucional CONALEP 2025-2030; Oferta Educativa Nacional 2025-2026",Research current official career maps and plantel catalogs separately before adding course rows
PHL,country_profile,National,Schema-safe language classification,"primary_languages cannot distinguish national language, official languages, instructional media, regional auxiliary languages, and optional mother-tongue use",RA 12027 and DepEd Order 20 s. 2025,Add typed language-policy fields before repopulating the country profile
PHL,country_profile,National,Transition-aware grade structure,A single static JSON cannot accurately represent simultaneous Revised K to 10 and legacy/strengthened SHS cohorts,DepEd Orders and Memoranda 2024-2026,Design a cohort-and-school-year-aware structure before restoring the country summary
PHL,curriculum,National,Controlling nationwide JHS scope for SY 2026-2027,"Current official materials show Revised Grades 6, 9, and 10 rollout while earlier grades are already phased in, but this static row cannot encode the transition safely",DepEd Order 10 s. 2024 and 2026 DepEd rollout materials,Obtain and model the final central Phase 3 implementation issuance by grade and cohort
PHL,curriculum,National,Legacy JHS curriculum coverage during transition,The row cannot safely mix MATATAG/Revised K to 10 and legacy curriculum applicability,DepEd Revised K to 10 curriculum page,Model school-year and cohort applicability separately
PHL,curriculum,National,Strengthened SHS Grade 12 pilot cohort in SY 2026-2027,Only learners from the 2025-2026 pilot Grade 11 cohort enter the 2026-2027 Grade 12 pilot,DepEd Memorandum 36 s. 2026,Research the final pilot-school list and Grade 12 implementation rules
PHL,curriculum,National,Legacy Grade 12 SHS transition in SY 2026-2027,Non-pilot Grade 12 learners continue the existing SHS curriculum and cannot be represented by the two narrowed Grade 11 rows,DepEd Memorandum 12 s. 2026,Create a separately sourced cohort-specific legacy record only if the schema gains transition support
PHL,curriculum,National,Strengthened SHS Grade 12 nationwide implementation after SY 2026-2027,The current nationwide directive covers incoming Grade 11 only,DepEd Memoranda 12 and 36 s. 2026,Verify a future final nationwide Grade 12 issuance before adding scope
PHL,curriculum,National,Academic and TechPro elective offerings for SY 2026-2027,School offerings vary with capacity and only approved released guides may be offered,DepEd Strengthened SHS Program and curriculum guides,Model each approved elective only after guide-level review and school-availability scoping
PHL,curriculum,National,Sports and Arts and Design under the current SHS reform,Former standalone tracks are not safe to carry forward as universal current tracks,DepEd Memoranda 48 s. 2025 and 12 s. 2026,Research their current placement in Academic elective clusters and approved guides
PHL,curriculum,National,Public versus private implementation detail,The national Grade 11 directive covers both but operational and permit requirements differ,DepEd Memorandum 12 s. 2026 and Private Education Office issuances,Research direct public/private implementation and recognition rules
PHL,credentials,National,JHS completion and SHS graduation credentials,No current national issuance was verified for the exact legacy labels formerly stored,DepEd end-of-school-year and learner-record issuances,Verify exact credential names and issuance conditions before seeding
PHL,assessment,National,National Achievement Test relationship to completion,NAT administration must not be represented as a graduation requirement without a direct rule,DepEd assessment issuances,Research current grade coverage purpose and any completion consequence separately
PHL,alternative_pathways,National,PEPT and Alternative Learning System pathways,Placement and equivalency pathways differ from regular curriculum completion,DepEd PEPT and ALS official pages,Research current eligibility assessment certification and placement rules
PHL,inclusion,National,IPED madrasah special-needs and language-policy implementation,Programs and learner groups may have distinct curriculum or delivery rules,DepEd program issuances and DepEd Order 20 s. 2025,Research each pathway separately without universalizing regular-school rules
PHL,local_implementation,Regions and divisions,Regional division and school implementation variation,National curriculum availability does not prove uniform local elective delivery,DepEd regional and division issuances,Add local records only when directly required and officially sourced
PHL,tesda,National,TESDA qualification-by-qualification training regulations and assessment rules,The deleted generic program conflated training competency assessment certification and SHS delivery,TESDA training regulations and assessment/certification rules,Research each qualification and certificate level separately with current regulations
PHL,tesda,National,TechPro learner access to TESDA assessment and certification,An NC label beside an elective does not prove automatic assessment eligibility or certificate issuance,DepEd TechPro guides and TESDA qualification rules,Verify training completion assessment eligibility fees competency requirements and certificate issuance per qualification
PHL,philippine_schools_overseas,International,Philippine Schools Overseas curriculum and recognition,Overseas implementation may have separate recognition and operating rules,DepEd and Department of Foreign Affairs official issuances,Research PSO approval curriculum and credential procedures
PHL,international_curricula,Schools in the Philippines,International curriculum offerings and recognition,Private-school offerings cannot be generalized nationally,DepEd permit and recognition issuances,Research each officially recognized provider or program separately
PHL,foreign_student_process,National,Foreign-student placement recognition validation and equivalency,No current direct national procedure was verified in this pass,DepEd placement and records issuances,Research official placement accreditation validation and equivalency procedures
PAK,curriculum,Punjab,"Punjab curriculum/textbook authority, current SSC/HSSC schemes, and each relevant BISE","No Punjab curriculum, textbook, board-jurisdiction, scheme, session, or adoption claim was verified in this FBISE-only pass",Punjab School Education Department / Punjab Curriculum and Textbook Board / each Punjab BISE,Research the provincial authority first and then each BISE using its current direct schemes and notifications
PAK,curriculum,Sindh,"Sindh curriculum/textbook authority, current SSC/HSSC schemes, and each relevant BISE","No Sindh curriculum, language-medium, textbook, board-jurisdiction, scheme, session, or adoption claim was verified",Sindh School Education and Literacy Department / Sindh Textbook Board / each Sindh BISE,Research the provincial authority and each board separately including Sindhi/Urdu implementation
PAK,curriculum,Khyber Pakhtunkhwa,"Khyber Pakhtunkhwa curriculum/textbook authority and current board schemes","No KP curriculum, textbook, board-jurisdiction, scheme, session, or adoption claim was verified",KP Elementary and Secondary Education Department / KP Textbook Board / each KP BISE,Research the provincial authority and every relevant examining board separately
PAK,curriculum,Balochistan,"Balochistan curriculum/textbook authority and current board schemes","No Balochistan curriculum, textbook, board-jurisdiction, scheme, session, or adoption claim was verified",Balochistan School Education Department / Balochistan Textbook Board / BBISE Quetta,Research current provincial instruments and board schemes directly
PAK,governance,Islamabad Capital Territory,ICT and Federal Directorate of Education relationship to FBISE affiliation and implementation,"The FBISE Act identifies Board jurisdiction and the scheme notification copies FDE, but the administrative/curriculum division was not modeled",Federal Directorate of Education / MoFEPT / FBISE,Research current FDE authority instruments and institution-level FBISE affiliation scope
PAK,governance,Gilgit-Baltistan and Azad Jammu and Kashmir,Current authorities boards and relationship to FBISE,"The FBISE Act includes non-provincial territories and the Board has sub-offices, but current local authority and affiliation arrangements were not established",Official GB and AJK education departments / boards / FBISE,Research each territory separately using current laws affiliations and board instruments
PAK,governance,Cantonments and garrisons,Cantonment/garrison institution affiliation and curriculum/exam authority,"FBISE Act section 4 permits covered cantonment-board institutions seeking affiliation but does not prove every cantonment or garrison school is affiliated",Cantonment Board Education Directorate / FGEI / FBISE affiliation records,Verify institution categories and current affiliation rather than applying FBISE universally
PAK,curriculum,Exam board,Aga Khan University Examination Board SSC and HSSC schemes,"AKU-EB is a separate examination board and was outside this FBISE-only pass",Aga Khan University Examination Board,Research current direct AKU-EB regulations schemes syllabi and institutional scope
PAK,technical_education,Provincial boards,Provincial Boards of Technical Education and technical/vocational credentials,"Technical-board credentials and their curricula cannot be inferred from FBISE SSC/HSSC or Matric-Tech tables",Each provincial Board of Technical Education,Research each board credential scheme regulations assessment and verification process separately
PAK,technical_education,National and provincial,NAVTTC coordination versus provincial TEVTA delivery and credential authority,"National standards, provincial training delivery, awarding bodies, and technical-board examinations were not disaggregated",NAVTTC / provincial TEVTAs / technical boards,Map each authority and credential before creating any production row
PAK,religious_education,Madrasah boards/wafaqs,Current curricula credentials and official equivalence rules for each recognized board,"The inclusive scheme mentions limited equivalence conditions but is not sufficient evidence for a madrasah curriculum or a general equivalence record",Each madrasah board/wafaq / Directorate General of Religious Education / IBCC,Research each board curriculum and the controlling government or IBCC equivalence instrument separately
PAK,international_curriculum,Pakistan,Cambridge and other international curricula offered in Pakistan,"No direct awarding-body evidence was collected for programmes, school authorization, examination sessions, or equivalence",Cambridge International / other awarding bodies / IBCC for equivalence only,Separate curriculum and awarding-body facts from IBCC equivalence decisions
PAK,governance,Private schools,Private-school curriculum and examination-board choice by jurisdiction,"The FBISE affiliation provisions do not establish what every private school may or must choose",Provincial and ICT private-school regulators / examining boards,Research applicable regulator rules and school-board affiliation evidence by jurisdiction
PAK,curriculum,Language,Language-medium and regional-language implementation by jurisdiction,"The national scheme says regional languages apply where applicable and gives a Sindh example; this does not support one national language model",Provincial curriculum and textbook authorities / current schemes,Research compulsory optional and medium-of-instruction rules for each jurisdiction and level
PAK,program,Pakistan,Special inclusive non-formal accelerated and alternative education,"The 2024 inclusive scheme contains non-formal sections but implementation authority and learner coverage were not verified for a production programme row",MoFEPT / NCHD / provincial special and non-formal education authorities,Research current programmes eligibility implementers geographic scope and credentials separately
PAK,credentials,FBISE,Current SSC/HSSC certificate issuance and verification,"The retained rows model schemes of studies, not certificate issuance, digital verification, duplicate documents, or credential validity",FBISE regulations and official verification service,Research current certificate regulations and verification workflow without inferring equivalence
PAK,examinations,FBISE,Private-candidate eligibility registration subjects practicals and examination rules,"The scheme transition notice mentions reappearance and improvement but does not establish complete private-candidate rules",FBISE examination regulations and current admission notifications,Research current SSC and HSSC rules by part scheme session and candidate type
PAK,examinations,Pakistan boards,2026-2028 grading transition assessment frameworks and passing rules,"IBCC states a phased new grading policy from the 1st Annual Examination 2026; this cannot be safely embedded in a curriculum description and board-specific implementation details remain unmodeled",IBCC new grading policy / each board implementation notification,Research phase dates marks-versus-grades treatment pass thresholds and board/session scope
PAK,equivalence,IBCC,Foreign and domestic qualification equivalence including O/A Levels madrasah and technical credentials,"IBCC coordination/equivalence authority is distinct from curriculum authority and no equivalence was modeled",IBCC Act regulations and qualification-specific equivalence instruments,Research each exact qualification country subject and session rule in a dedicated review workflow
PAK,recognition,Incoming international students,Placement and recognition procedures for students entering Pakistan schools,"No direct current rule was verified for placement across boards curricula or grade levels",IBCC / relevant examining board / provincial or ICT education authority,Research credential review placement migration and board-specific registration procedures
BGD,curriculum,National,BOU open school secondary equivalency curriculum,Not directly accessed,bou.edu.bd,Access BOU secondary curriculum documents
BGD,curriculum,National,NCTB official curriculum PDFs for all grades,NCTB detailed documents not accessed,nctb.gov.bd,Access NCTB curriculum publications
UKR,curriculum,National,Complete NUS curriculum for Grades 5-9 and 10-12,NUS transition documents partially accessible,mon.gov.ua,Access complete NUS curriculum documents
UKR,curriculum,National,Conflict-related temporary education rules for displaced students,Not fully accessible,mon.gov.ua,Access MoES displaced student policy documents
RUS,curriculum,Federal,Detailed SPO trade-level curriculum catalogs,Trade catalogs not fully accessible,edu.gov.ru,Access SPO vocational curriculum documents
RUS,curriculum,Regional,Regional republic curriculum components,Regional variations not researched,edu.gov.ru,Access regional education authority documents
EGY,curriculum,National,Al-Azhar detailed secondary syllabus,Limited direct evidence in English,"moe.gov.eg, alazhar.edu.eg",Access Al-Azhar secondary curriculum documents
EGY,curriculum,National,"Technical secondary branch details (Industrial, Agricultural, Commercial)",Detailed curricula not accessed,moe.gov.eg,Access MoETE technical secondary curriculum
EGY,curriculum,National,Certificate of Egypt (Shehadet Masr) proposed reform,Proposed but not implemented,moe.gov.eg,Monitor implementation status
NGA,curriculum,National,Detailed NERDC curriculum subject lists for all levels,NERDC detailed downloads not accessed,nerdc-nigeria.org,Access NERDC curriculum documents
NGA,curriculum,National,WAEC syllabus documents for all subjects,Not individually accessed,waecnigeria.org,Access WAEC syllabus downloads
NGA,curriculum,National,NABTEB A-Level subject details,Advanced certificate specifics not cataloged,nabteb.gov.ng,Access NABTEB A-Level curriculum
NGA,curriculum,National,2025 curriculum reform implementation details,Announced but not fully published,education.gov.ng,Access 2025 reform implementation guides
SAU,curriculum,MOE private schools,Private schools using the MOE secondary pathways curriculum,"The current MOE page records rollout of the common first year to government and private schools in 1442-1443 but does not establish each private school's current pathway offerings or 1448-1449 plan",MOE private education regulations and current school approvals,Research current curriculum obligations and pathway authorization for private schools
SAU,international_curriculum,International schools,"British, American, IB, Indian, and other international curricula in Saudi schools","MOE examination guidance says foreign and international schools follow their own examination regulations; no current curriculum-by-school authorization dataset was verified",MOE Agency for Private and Foreign Education / direct awarding bodies,Research each curriculum authority and authorized-school scope separately
SAU,curriculum,International and private schools,Mandatory Saudi subjects in international/private schools,"No current direct instrument was verified for exact Arabic, Islamic Studies, Saudi history, or other mandatory-subject rules by school type and cohort",MOE private/foreign education regulations and current curriculum circulars,Locate the controlling Arabic decision and model each school type separately
SAU,curriculum,Qur'anic schools and institutes,Qur'anic-school pathway implementation and distinct curriculum rules,"The MOE pathways page mentions common-first-year rollout to Qur'anic schools but does not establish their current specialized pathway or certificate rules",MOE Qur'anic education regulations and current study plans,Research current plans cohorts and certificate scope
SAU,program,Adult special gifted and inclusive education,"Adult, continuing, special, gifted, and inclusive secondary provision","The current pathways page mentions night schools and adult women's schools only for initial common-year rollout; distinct current eligibility, accommodations, and completion rules were not verified",MOE program regulations / special education and continuing education authorities,Research each provision separately without generalizing the standard pathway row
SAU,curriculum,Regional and school delivery,Regional and school-level availability of the five secondary pathways,"MOE governs opening, closing, and introducing pathways under defined criteria; the national page does not prove every school offers every pathway",MOE pathway governance decisions / education-department and school authorization records,Build a current authorization inventory by region school and cohort
SAU,governance,Boys and girls provision,Gender-specific pathway availability or implementation differences,"The national pathway description does not establish whether every pathway is identically available across boys' and girls' schools",MOE current pathway-opening data and implementation circulars,Verify availability and rules without inferring difference or parity
SAU,curriculum,MOE secondary pathways,Exact course plans electives hours and assessment by pathway and cohort,"The retained row intentionally omits course-level detail; current 1448-1449 plan tables and cohort applicability were not directly verified",MOE Study Plans repository and pathway-specific Arabic plans,Research each pathway and cohort before adding course rows
SAU,graduation_framework,MOE secondary pathways,"Current completion, failed-course recovery, attendance, conduct, and certificate issuance rules","The deleted framework used Tawjihiyah and a unified-examination claim; accessible materials confirm a completion certificate exists but did not provide a complete current 1447/1448 graduation rule representable in the schema",MOE Student Evaluation Regulation / current examination procedures / Noor certificate rules,Locate the controlling current regulation and audit every framework field separately
SAU,assessment,ETEC/Qiyas,Qudurat and Tahsili relationship to university admission rather than school graduation,"ETEC currently administers General Aptitude and Achievement assessments, but no MOE graduation rule was found making either a secondary-completion examination",ETEC Qiyas service specifications / university admission regulations / MOE graduation rules,Model only after separating admission use from school completion
SAU,technical_education,TVTC,"TVTC institution, program, and qualification catalogs","The deleted row conflated the corporation with one universal upper-secondary program; TVTC currently advertises technical-college diplomas and secondary industrial/architecture/construction institute programs separately",TVTC current admissions catalog / training plans / qualification specifications,Create separate rows only for exact current qualifications with institution and availability scope
SAU,credentials,MOE and TVTC,Credential issuance document verification and replacement,"Current verification and reissue procedures were not comprehensively verified for MOE pathway certificates and distinct TVTC qualifications",MOE Natayiji/Noor regulations / TVTC certificate services,Research issuer credential title validation channel and replacement rules separately
SAU,recognition,Incoming international students,Placement and recognition for students entering Saudi schools with foreign records,"No current direct national placement and recognition instrument was retained",MOE admission and registration guide / certificate-equivalence regulations,Research grade placement documentation translation and school-type rules
SAU,recognition,Returning Saudi students,Recognition of foreign school credentials for returning Saudi students,"The available MOE materials reference foreign-record handling but do not provide a current complete 1447/1448 rule for production data",MOE General Education certificate-equivalence guide and current circulars,Verify authentication equivalence placement and certificate issuance procedures
SAU,curriculum,Transition cohorts,Legacy course-system tracks to the secondary pathways system,"The old 1439-1440 Natural Sciences/Humanities course-system page is historical and the pathways rollout began with the common first year in 1442-1443; exact residual legacy cohorts and current 1448-1449 transition exceptions were not identified",MOE archived rollout decisions / current cohort and study-plan circulars,Document supersession dates and any remaining legacy or re-examination cohorts
GBR,curriculum,Wales,Wales new curriculum (2022+) post-16 qualification framework,2022+ reform details unverified,qualificationswales.org,Access Wales post-16 framework
GBR,curriculum,Northern Ireland,CCEA detailed curriculum and qualification specifications,Limited direct access,ccea.org.uk,Access CCEA detailed curriculum documents
FRA,curriculum,National,Complete CAP specialism catalog (200+),Consolidated list not accessible in English,education.gouv.fr,Access complete CAP catalog
FRA,curriculum,National,BFI detailed curriculum,Limited detail accessed,education.gouv.fr,Access BFI curriculum documents
CAN,curriculum,12 provinces/territories,Individual provincial graduation requirements,Only Ontario detailed; others identified,Individual provincial ministry sites,Access each provincial graduation requirements page
CAN,curriculum,Quebec,Quebec MEQ detailed curriculum (French),French-language documents not accessed,education.gouv.qc.ca,Access Quebec curriculum documents
AUS,curriculum,6 states/territories,Individual state curriculum authority subject lists,Only NSW and VCE detailed,Individual state curriculum authority sites,Access each state subject list
AUS,curriculum,National,VET recognition registers per state,Partially incomplete,Individual state curriculum authority sites,Access VET recognition registers
AUS,curriculum,Northern Territory,NT specific curriculum documents,Less accessible,nt.gov.au/education,Access NT curriculum documents
ESP,curriculum,17 autonomous communities,Cross-regional equivalency tables,Not consolidated in single public source,educacionfpydeportes.gob.es,Access autonomous community curriculum documents
ITA,curriculum,National,Complete Istituti Professionali specializations catalog,Less centralized than licei/tecnici,mim.gov.it,Access complete professional institute catalog
ITA,curriculum,Regional,Regional IeFP pathway documents,Varies by region; not fully standardized,Regional education authority sites,Access regional IeFP documents
ITA,curriculum,National,Esabac/EsaBac Techno detailed binational curriculum,Limited detail accessed,mim.gov.it,Access binational program documents
USA,graduation_framework,Federal,National US graduation requirement (does not exist),Not applicable - US system is state-based,ESSA documentation,N/A - correctly modeled as state-based
CAN,graduation_framework,Federal,National Canadian graduation framework (does not exist),Not applicable - Canada is provincial/territorial,CMEC documentation,N/A - correctly modeled as provincial
DEU,graduation_framework,Federal,Federal graduation law (does not exist),Not applicable - Germany is Land-based,KMK documentation,N/A - correctly modeled as Land-based
AUS,graduation_framework,Federal,National senior secondary certificate (does not exist),Not applicable - Australia is state/territory-based,ACARA documentation,N/A - correctly modeled as state-based
ESP,graduation_framework,National,National graduation exam (does not exist for ESO/Bach),Not applicable - Spain uses continuous assessment + EBAU for university,MEFP documentation,N/A - correctly modeled
GBR,graduation_framework,UK-wide,UK-wide national curriculum (does not exist),Not applicable - UK is devolved,"DfE, SQA, Qualifications Wales, CCEA documentation",N/A - correctly modeled as 4 constituent systems
IND,curriculum,National,All India state boards aggregate placeholder,Not created per user instruction,N/A,N/A - correctly avoided placeholder
USA,curriculum,Georgia,GaDOE official State-Funded List of K-8 Subjects and 9-12 Courses,Direct URL returned 404 during initial research; later found via GaDOE site navigation,gadoe.org,Re-access GaDOE course list - RESOLVED: GaDOE Rule 160-4-2-.48 PDF located and used
USA,graduation_framework,Georgia,Georgia State Board Rule 160-4-2-.48 direct PDF,Direct URL returned 404 during initial research; found via GaDOE site navigation,gadoe.org,Locate current GaDOE graduation requirements PDF - RESOLVED: Direct PDF found and used as primary source
USA,graduation_framework,Georgia,Georgia Alternate Diploma and Special Education Diploma requirements,Limited detail in accessed sources,gadoe.org,Access Georgia special education graduation requirements
IND,curriculum,National,IB India curriculum and diploma programme,International Baccalaureate is offered in India but is not a national board; requires direct IB India authority source for curriculum details and grade structure,ibo.org,Access IB India official curriculum and school directory for India scope and grade range
IND,curriculum,Various states,Matriculation system (state-level),"Matriculation refers to multiple non-unified state-level and private boards across India; no single national authority. Tamil Nadu Matriculation Board no longer exists as a separate entity (now DGE/SSLC). Other states have their own matriculation examinations.",Various state board websites,Identify and access each state's current matriculation or secondary examination board syllabus and authority documentation
CAN,graduation_requirements,Ontario,Detailed Ontario OSSD compulsory credit breakdown by group and subject,Cohort complexity (18+12 vs 17+13 credits) and group credit requirements cannot be safely represented in current schema without risk of misleading combinations,Ontario Schools K-12 Policy and Program Requirements 2024,Add structured requirement rows with cohort tags and group credit logic
CAN,graduation_requirements,Ontario,Ontario OSSD optional credit requirements,Optional credits vary by cohort and are not a fixed category list,Ontario Schools K-12 Policy and Program Requirements 2024,Research optional credit categorization if schema supports elective groupings
CAN,graduation_framework,Quebec,Quebec secondary credentials and CEGEP transition,Quebec secondary system ends at grade 11 followed by CEGEP; detailed graduation framework not researched,Ministère de l'Éducation du Québec,Access Quebec secondary diploma and CEGEP transition documents
CAN,curriculum,12 provinces/territories,Individual provincial/territorial curricula and graduation frameworks,Only Ontario detailed; other 12 jurisdictions remain at placeholder level,CMEC provincial directory,Research each provincial/territorial ministry curriculum and graduation requirements
CAN,program,Ontario,Ontario Specialist High Skills Major (SHSM) and dual credit programs,SHSM and dual credit are mentioned in Ontario policy but not modeled as standalone programs,"Ontario Schools K-12 Policy, Section 8",Add education_program rows if direct program scope and availability can be sourced
CAN,program,Canada,IB and AP programs in Canadian schools,International programs are offered but not governed by provincial authorities; requires direct program authority sources,"ibo.org, College Board",Access IB Canada and College Board Canada availability data
CAN,program,Canada,Indigenous-controlled and local education systems,Authority and curriculum scope vary by First Nation and federal agreements,"Indigenous Services Canada, CMEC",Research Indigenous education agreements and curriculum scope
CAN,program,Ontario,Mature student and adult secondary credentials,PLAR and mature student provisions exist but are not detailed in current framework,"Ontario Schools K-12 Policy, Section 7.2.4",Research adult secondary credential requirements and availability
AUS,program,South Australia,SACE VET Recognition Register,"Modeled as education_program but is actually a reference register of VET qualifications recognized for SACE credits, not a standalone program",SACE Board of South Australia,Restructure as a data source or reference record rather than an education program; or create proper SACE framework with VET integration details
AUS,graduation_requirements,NSW,HSC detailed pattern-of-study requirements by unit and subject category,Schema cannot safely represent Preliminary 12 units + HSC 10 units with Board Developed/Endorsed distinctions and cohort accumulation rules,NESA ACE Manual,Add structured requirement rows with unit-based categories and accumulation rules
AUS,graduation_requirements,Victoria,VCE detailed unit completion requirements by study category,"Schema cannot safely represent 16-unit minimum, English group 3-unit requirement, 3 other Unit 3-4 sequences, and VCE VM distinct requirements",VCAA VCE Administrative Handbook,Add structured requirement rows with unit-level categories and VCE/VM differentiation
AUS,graduation_framework,ACT,ACT Senior Secondary Certificate,No direct ACT education authority curriculum/framework source accessed,ACT Education Directorate,Access ACT senior secondary certificate requirements and curriculum documents
AUS,graduation_framework,Queensland,Queensland Certificate of Education (QCE),No direct Queensland curriculum authority framework source accessed,Queensland Curriculum and Assessment Authority,Access QCE requirements and curriculum documents
