country_iso3,table_name,record_id,record_name,field_name,claim_summary,source_url,source_authority,source_title,source_section_or_page,direct_support,scope_match,current_as_of_2026_06_22,action_taken,notes
USA,data_sources,5e60efd8-b6da-4031-adad-0346d5de280b,Cherokee County School District Graduation Requirements,source_url,Current source is Cherokee County district citing Rule 160-4-2-.48. This is NOT the state authority.,https://www.cherokeek12.net/i-instructional-program/ihf-graduation-requirements,Cherokee County School District,District policy referencing State Board Rule 160-4-2-.48,District page reproduces rule but is not the issuing authority.,no,partial,yes,replace_source,CRITICAL: Must replace with direct GaDOE source: https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),total_credits_required,30 credits required for OSSD (17 compulsory + 13 optional for students entering Grade 9 in 2024-25 onwards; 18 + 12 for earlier cohorts),http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools, Kindergarten to Grade 12: Policy and Program Requirements (2024 edition), Section 6.1 Ontario Secondary School Diploma","Section 6.1: 'Students entering Grade 9 in 2024-25 onwards must earn a minimum of 30 credits, including 17 compulsory credits and 13 optional credits'",yes,yes,yes,keep (with corrected source_url),Original source was CMEC generic homepage (cmec.ca). This ontario.ca document is the direct Ministry policy. Published 2024.
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),exam_notes,40 hours of community involvement activities required,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools, Kindergarten to Grade 12: Policy and Program Requirements (2024 edition), Section 6.1.6",Section 6.1.6: 'Requires students to complete a minimum of 40 hours of community involvement activities as part of the OSSD requirements' (PPM 124 reference),yes,yes,yes,keep (with corrected source_url),Confirmed.
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),exam_notes,Ontario Secondary School Literacy Test (OSSLT) required,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools, Kindergarten to Grade 12: Policy and Program Requirements (2024 edition), Section 6.1.3",Section 6.1.3: 'All secondary school students must meet the literacy graduation requirement to earn an OSSD... expected to take and successfully complete the Ontario Secondary School Literacy Test (OSSLT) in Grade 10',yes,yes,yes,keep (with corrected source_url),Confirmed.
CAN,destination_graduation_frameworks,52bfe3ea-0cd1-4344-a70a-0276011f4cf3,Ontario Secondary School Diploma (OSSD),exam_notes,2 online learning credits required,http://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures,Ontario Ministry of Education,"Ontario Schools, Kindergarten to Grade 12: Policy and Program Requirements (2024 edition), Section 6.1.7",Section 6.1.7 references PPM 167: Online learning graduation requirement; Section 6.1 states 'with at least two of the 30 credits earned online',yes,yes,yes,keep (with corrected source_url),Confirmed.
CAN,data_sources,c79594b8-1b88-438b-ac90-85e15bd94f40,"Council of Ministers of Education, Canada",source_url,"CMEC is a coordinating body, not a graduation authority. No national Canadian graduation framework exists.",https://www.cmec.ca/,"Council of Ministers of Education, Canada (CMEC)",CMEC homepage,Generic homepage; no detailed graduation requirements. Canada has no national graduation framework.,no,no,yes,replace_source,"Must replace with provincial sources. For Ontario, use https://www.ontario.ca/document/ontario-schools-kindergarten-grade-12-policy-and-program-requirements-2024/diploma-and-certificate-requirements-related-procedures. For other provinces, individual ministry sources needed."
MEX,countries,eef7cfe5-6a58-404f-8958-32c03a4d2c2c,Mexico country record,education_system_summary,Mixed federal-state system. SEP sets national curriculum. State education authorities administer schools. Upper-secondary has multiple subsystems.,https://www.gob.mx/sep/acciones-y-programas/plan-de-estudios-para-la-educacion-secundaria,Secretaría de Educación Pública (SEP),SEP Plan de Estudios para la Educación Secundaria,SEP national curriculum page confirms federal-state structure. Also supported by DOF Acuerdo 17/08/22 (MCCEMS) and Acuerdo 444/445.,yes,yes,yes,keep (with corrected source_url),Current source is SEP generic homepage (gob.mx/sep). Need direct Plan de Estudios page or DOF acuerdo links.
MEX,curricula,ef490297-7fc8-48a1-be99-e8eb9fde7812,"SEP Lower Secondary (Secundaria, Grades 7-9)",curriculum_type,National lower secondary curriculum. General and technical tracks. Free textbooks provided by SEP.,https://www.gob.mx/sep/acciones-y-programas/plan-de-estudios-para-la-educacion-secundaria,Secretaría de Educación Pública (SEP),Plan de Estudios para la Educación Secundaria,SEP curriculum page confirms lower secondary curriculum structure and free textbooks.,yes,yes,yes,keep (with corrected source_url),Original source was generic SEP homepage. Direct Plan de Estudios page identified.
MEX,curricula,4f7111a6-7c89-4bd1-8459-f218e054b01f,"SEMS Upper Secondary (MCCEMS, Grades 10-12)",curriculum_type,"Common curricular framework for upper secondary. General, technological, and professional-tecnica subsystems.",https://dof.gob.mx/nota_detalle.php?codigo=5663344&fecha=02/09/2022,Secretaría de Educación Pública (SEP) / Subsecretaría de Educación Media Superior (SEMS),ACUERDO número 17/08/22 por el que se establece y regula el Marco Curricular Común de la Educación Media Superior,"Diario Oficial de la Federación, 2 de septiembre de 2022. Full text establishes and regulates MCCEMS.",yes,yes,yes,keep (with corrected source_url),Original source was generic SEMS homepage. Direct DOF acuerdo found. Also updated by Acuerdo 09/08/23 (DOF 25/08/2023) and Acuerdo 09/05/24 (DOF 05/06/2024). The 2025 Modelo Educativo MCCEMS was published Aug 2025 (Acuerdo 21/08/25).
MEX,curricula,4f7111a6-7c89-4bd1-8459-f218e054b01f,MCCEMS 2025 Modelo Educativo,description,"MCCEMS updated under Nueva Escuela Mexicana (NEM). 200+ technical careers updated with AI, robotics, semiconductors.",https://apprende.jalisco.gob.mx/subsecretaria-media-superior/wp-content/uploads/sites/16/2025/11/Modelo-educativo-2025-.pdf,Secretaría de Educación Pública (SEP) / Subsecretaría de Educación Media Superior (SEMS),Modelo Educativo 2025 - Marco Curricular Común de la Educación Media Superior - Sistema Nacional de Bachillerato de la Nueva Escuela Mexicana,"PDF published by SEP/SEMS, hosted on Jalisco state education portal. 65 pages. Index includes: Fines de la EMS, Perfil de egreso, Enfoque Educativo del MCCEMS 2025, Elementos curriculares, Mallas curriculares, Currículum ampliado.",yes,yes,yes,add_source,This is the most current MCCEMS document (2025). Should be added as a new direct source. The original DOF acuerdo 17/08/22 remains the legal instrument; this 2025 PDF is the pedagogical implementation document.
MEX,data_sources,c2a3c0c0-8582-46cb-8cac-5e386d6ee626,Secretaria de Educacion Publica,source_url,"SEP homepage - generic, no detailed curriculum claims supported",https://www.gob.mx/sep,Secretaría de Educación Pública,SEP homepage (gob.mx/sep),Generic homepage. Does not support detailed curriculum claims.,no,no,yes,replace_source,Replace with: (1) DOF Acuerdo 17/08/22 https://dof.gob.mx/nota_detalle.php?codigo=5663344&fecha=02/09/2022 (MCCEMS legal instrument); (2) SEP Plan de Estudios Secundaria https://www.gob.mx/sep/acciones-y-programas/plan-de-estudios-para-la-educacion-secundaria; (3) MCCEMS 2025 PDF https://apprende.jalisco.gob.mx/subsecretaria-media-superior/wp-content/uploads/sites/16/2025/11/Modelo-educativo-2025-.pdf
MEX,data_sources,d20098ed-9673-4f33-afa0-22b9fe07c2b2,Subsecretaria de Educacion Media Superior,source_url,"SEMS homepage - generic, no detailed curriculum claims supported",http://www.sems.gob.mx/es/sems/sistema_nacional_bachillerato,Subsecretaría de Educación Media Superior (SEMS),SEMS homepage (sems.gob.mx),Generic homepage. Does not support detailed MCCEMS curriculum claims.,no,no,yes,replace_source,Replace with DOF Acuerdo 17/08/22 and MCCEMS 2025 PDF.
ESP,destination_graduation_frameworks,f3b54ed1-5831-4883-9bc4-5e12c7386746,ESO Compulsory Secondary Education,framework_name,LOMLOE (2020) ESO framework. Compulsory lower secondary grades 7-10. No national leaving exam. Continuous assessment.,https://www.boe.es/buscar/act.php?id=BOE-A-2020-17264,Jefatura del Estado / Ministerio de Educación y Formación Profesional (MEFP),"Ley Orgánica 3/2020, de 29 de diciembre, por la que se modifica la Ley Orgánica 2/2006, de 3 de mayo, de Educación (LOMLOE)","BOE núm. 340, de 30/12/2020. Entrada en vigor: 19/01/2021. Última actualización: 01/04/2022. Establishes ESO structure (4 courses, compulsory and free, ages 12-16).",yes,yes,yes,keep (with corrected source_url),Original source was MEFP generic homepage. Direct LOMLOE BOE link found and verified.
ESP,destination_graduation_frameworks,f3b54ed1-5831-4883-9bc4-5e12c7386746,ESO curriculum details,description,"ESO curriculum: 4 courses, national minimum curriculum (60% for non-co-official CCAA, 50% for co-official), subjects include Biología y Geología, Educación Física, Geografía e Historia, Lengua Castellana y Literatura, Lengua Extranjera, Matemáticas, etc. 4th course has orientador character.",https://www.boe.es/buscar/act.php?id=BOE-A-2022-4975,Ministerio de Educación y Formación Profesional (MEFP),"Real Decreto 217/2022, de 29 de marzo, por el que se establece la ordenación y las enseñanzas mínimas de la Educación Secundaria Obligatoria","BOE núm. 76, de 30/03/2022. Artículos 1-20 detail ESO objectives, organization, subjects (Art. 8-9), evaluation (Art. 15-16), promotion (Art. 16), titulation (Art. 17).",yes,yes,yes,keep (with corrected source_url),Direct BOE source verified and accessible. Art. 13 confirms 60% (non-co-official) / 50% (co-official) minimum state curriculum.
ESP,destination_graduation_frameworks,2b428473-9dae-496d-9b30-856f3ac4a20f,Bachillerato Upper Secondary,framework_name,"Bachillerato: 2 courses, 4 modalities (Arts, Ciencias y Tecnología, General, Humanidades y Ciencias Sociales). No national leaving exam; continuous assessment. EBAU for university access.",https://www.boe.es/buscar/act.php?id=BOE-A-2022-5521,Ministerio de Educación y Formación Profesional (MEFP),"Real Decreto 243/2022, de 5 de abril, por el que se establecen la ordenación y las enseñanzas mínimas del Bachillerato","BOE núm. 82, de 06/04/2022. Art. 8: 4 modalities. Art. 9: common subjects. Art. 10-13: specific subjects per modality. Art. 20: continuous evaluation. Art. 22: title requires positive evaluation in all subjects of both courses (exceptional single-subject exemption possible).",yes,yes,yes,keep (with corrected source_url),Direct BOE source verified and accessible. Also corrected by BOE-A-2022-16754 (14/10/2022).
ESP,countries,0a9ffb45-96e6-4a08-be59-925180a76e2d,Spain country record,education_system_summary,Mixed national-regional system. MEFP sets national minimum curriculum (50-60%). 17 autonomous communities implement remaining curriculum.,https://www.boe.es/buscar/act.php?id=BOE-A-2022-4975,Ministerio de Educación y Formación Profesional (MEFP),"Real Decreto 217/2022, ESO; Real Decreto 243/2022, Bachillerato","Art. 13.3 of RD 217/2022: 'Las enseñanzas mínimas... requerirán el 60 por ciento de los horarios escolares para aquellas comunidades autónomas que no tengan lengua cooficial, y el 50 por ciento para las que la tengan.' Art. 18.3 of RD 243/2022: same percentages for Bachillerato.",yes,yes,yes,keep (with corrected source_url),Confirmed. The 50-60% national minimum / 40-50% autonomous community split is directly supported by the Real Decretos.
ESP,data_sources,7894a12c-3345-4b46-b8df-a7c39b54972a,"Ministry of Education, Vocational Training and Sports, Spain",source_url,"MEFP homepage - generic, does not support detailed curriculum claims",https://www.educacionfpydeportes.gob.es/,"Ministerio de Educación, Formación Profesional y Deportes (MEFP)",MEFP homepage,Generic homepage. No detailed ESO/Bachillerato curriculum information.,no,no,yes,replace_source,Replace with: (1) LOMLOE https://www.boe.es/buscar/act.php?id=BOE-A-2020-17264; (2) RD 217/2022 ESO https://www.boe.es/buscar/act.php?id=BOE-A-2022-4975; (3) RD 243/2022 Bachillerato https://www.boe.es/buscar/act.php?id=BOE-A-2022-5521.
